Name,Author,Genre,Century Painted,Topic,Medium,Description,Wikilink
A Sunday Afternoon on the Island of La Grande Jatte,Georges Seurat,Post-Impressionism,19,Park scene,Oil,Depicts a park on the banks of the Seine river with many people,https://en.wikipedia.org/wiki/A_Sunday_Afternoon_on_the_Island_of_La_Grande_Jatte
American Gothic,Grant Wood,Regionalism,20,Couple in front of a house,Oil,Portrait of a farmer and his daughter in front of their house,https://en.wikipedia.org/wiki/American_Gothic
Black Iris,Georgia O'Keeffe,Modern art,20,Flower,Oil,Depicts a close-up of a black iris,https://en.wikipedia.org/wiki/Black_Iris
Campbell's Soup Cans,Andy Warhol,Pop art,20,Cans of soup,Synthetic polymer paint,Depicts 32 cans of Campbell's Soup,https://en.wikipedia.org/wiki/Campbell%27s_Soup_Cans
Christina's World,Andrew Wyeth,Realism,20,Woman on a field,Egg tempera,Depicts a woman looking at a farmhouse from a field,https://en.wikipedia.org/wiki/Christina%27s_World
Composition VII,Wassily Kandinsky,Abstract art,20,Abstract,Oil,Non-representational painting with colorful geometric shapes,https://en.wikipedia.org/wiki/Composition_VII
Composition VIII,Wassily Kandinsky,Abstract art,20,Abstract,Oil,Non-representational painting with colorful geometric shapes,https://en.wikipedia.org/wiki/Composition_VIII
Drowning Girl,Roy Lichtenstein,Pop art,20,Comic book,Oil,Depicts a woman crying while talking on the phone,https://en.wikipedia.org/wiki/Drowning_Girl
Girl with a Pearl Earring,Johannes Vermeer,Baroque,17,Portrait,Oil,Depicts a young girl with a pearl earring,https://en.wikipedia.org/wiki/Girl_with_a_Pearl_Earring
Guernica,Pablo Picasso,Cubism,20,War and suffering,Oil,Depicts the bombing of a Spanish town during the Spanish Civil War,https://en.wikipedia.org/wiki/Guernica_(Picasso)
Guernica 3D,Maestro Guillermo,3D printing,21,War and suffering,3D print,3D print reproduction of Picasso's Guernica,https://en.wikipedia.org/wiki/Guernica_(Picasso)
Las Meninas,Diego Velazquez,Baroque,17,Group portrait,Oil,Depicts a group portrait of the Spanish royal family and their servants,https://en.wikipedia.org/wiki/Las_Meninas
Les Demoiselles d'Avignon,Pablo Picasso,Cubism,20,Group of women,Oil,Depicts five nude women in a brothel,https://en.wikipedia.org/wiki/Les_Demoiselles_d%27Avignon
Liberty Leading the People,Eugene Delacroix,Romanticism,19,Allegory of liberty,Oil,Depicts a woman personifying liberty leading a group of people,https://en.wikipedia.org/wiki/Liberty_Leading_the_People
Mona Lisa,Leonardo da Vinci,Portrait,16,Woman,Oil,Portrait of a woman with a mysterious smile,https://en.wikipedia.org/wiki/Mona_Lisa
Nighthawks,Edward Hopper,Realism,20,Night scene,Oil,Depicts a late-night diner with people sitting at the counter,https://en.wikipedia.org/wiki/Nighthawks
Poppies,Frida Kahlo,Surrealism,20,Landscape,Oil,Depicts a surreal landscape with poppies,https://en.wikipedia.org/wiki/Poppies_(Kahlo)
Starry Night,Vincent van Gogh,Post-Impressionism,19,Night sky and town,Oil,Depicts the view from van Gogh's asylum room,https://en.wikipedia.org/wiki/The_Starry_Night
Adoration of the Magi,Gentile da Fabriano,International Gothic,15,Religious scene,Tempera,Depicts the Adoration of the Magi,https://en.wikipedia.org/wiki/The_Adoration_of_the_Magi_(Gentile_da_Fabriano)
Ambassadors,Hans Holbein the Younger,Northern Renaissance,16,Group portrait,Oil,Depicts two men surrounded by various objects and symbols,https://en.wikipedia.org/wiki/The_Ambassadors_(Holbein)
Ambassadors of Agamemnon in the Tent of Achilles,Franciszek Smuglewicz,Neoclassicism,18,Mythology,Oil,Depicts a scene from Homer's Iliad,https://en.wikipedia.org/wiki/The_Ambassadors_of_Agamemnon_in_the_Tent_of_Achilles
Anatomy Lesson of Dr. Nicolaes Tulp,Rembrandt van Rijn,Baroque,17,Anatomy,Oil,Depicts a group of surgeons performing an anatomy lesson,https://en.wikipedia.org/wiki/The_Anatomy_Lesson_of_Dr._Nicolaes_Tulp
Arnolfini Portrait,Jan van Eyck,Northern Renaissance,15,Wedding,Oil,Portrait of a couple with intricate details and symbols,https://en.wikipedia.org/wiki/The_Arnolfini_Portrait
Battle of San Romano,Paolo Uccello,Early Renaissance,15,Battle scene,Tempera,Depicts the battle between Florence and Siena in 1432,https://en.wikipedia.org/wiki/The_Battle_of_San_Romano
Birth of Adam,Gustave Moreau,Symbolism,19,Religious scene,Oil,Depicts the creation of Adam with a symbolic background,https://en.wikipedia.org/wiki/The_Birth_of_Adam_(Moreau)
Birth of Christ with Saint Francis and Saint Lawrence,Giotto di Bondone,Proto-Renaissance,13,Religious scene,Fresco,Depicts the birth of Christ with Saint Francis and Saint Lawrence,https://en.wikipedia.org/wiki/The_Birth_of_Christ_with_Saint_Francis_and_Saint_Lawrence
Birth of Tragedy,Anselm Kiefer,Neo-expressionism,20,Mythological painting,Oil,Depicts the Greek god Dionysus and his followers,https://en.wikipedia.org/wiki/The_Birth_of_Tragedy_(painting)
Birth of Venus,Sandro Botticelli,Early Renaissance,15,Figure and sea,Tempera,Depicts the goddess Venus emerging from the sea on a shell,https://en.wikipedia.org/wiki/The_Birth_of_Venus
Blue Boy,Thomas Gainsborough,Rococo,18,Portrait,Oil,Depicts a young boy in blue clothing with a large hat,https://en.wikipedia.org/wiki/The_Blue_Boy
Calling of Saint Matthew,Caravaggio,Baroque,17,Religious scene,Oil,Depicts the moment when Jesus called Matthew to become one of his disciples,https://en.wikipedia.org/wiki/The_Calling_of_Saint_Matthew
Conversion of Saint Paul,Caravaggio,Baroque,17,Religious scene,Oil,Depicts the moment when Saint Paul was converted to Christianity,https://en.wikipedia.org/wiki/The_Conversion_of_Saint_Paul_(Caravaggio)
Creation of Adam,Michelangelo,Renaissance,15,Religious scene,Fresco,Depicts the creation of Adam from the book of Genesis,https://en.wikipedia.org/wiki/The_Creation_of_Adam
Creation of the World and the Expulsion from Paradise,Masaccio,Early Renaissance,15,Religious scene,Fresco,Depicts the creation of the world and the expulsion from paradise,https://en.wikipedia.org/wiki/The_Creation_of_the_World_and_the_Expulsion_from_Paradise
Crying Boy,Bruno Amadio,Contemporary art,20,Portrait,Oil,Depicts a portrait of a crying boy,https://en.wikipedia.org/wiki/The_Crying_Boy
Dance,Henri Matisse,Fauvism,20,Group of dancers,Oil,Depicts a group of dancers with bold and bright colors,https://en.wikipedia.org/wiki/The_Dance_(Matisse)
Dance of Life,Edvard Munch,Symbolism,19,Group of people,Oil,Depicts a group of people in different stages of life dancing,https://en.wikipedia.org/wiki/The_Dance_of_Life_(Munch)
Death of General Wolfe,Benjamin West,Neoclassicism,18,Historical scene,Oil,Depicts the death of British General James Wolfe in the Battle of Quebec,https://en.wikipedia.org/wiki/The_Death_of_General_Wolfe
Death of Marat,Jacques-Louis David,Neoclassicism,18,Historical scene,Oil,Depicts the murder of French revolutionary Jean-Paul Marat,https://en.wikipedia.org/wiki/The_Death_of_Marat
Death of Sardanapalus,Eugene Delacroix,Romanticism,19,Historical scene,Oil,Depicts the suicide of the Assyrian king Sardanapalus,https://en.wikipedia.org/wiki/The_Death_of_Sardanapalus
Fighting Temeraire,Joseph Mallord William Turner,Romanticism,19,Ship,Oil,Depicts the decommissioned HMS Temeraire being towed to a ship-breaking yard,https://en.wikipedia.org/wiki/The_Fighting_Temeraire
Girl from Ipanema,Aldemir Martins,Contemporary art,21,Girl on the beach,Acrylic,Depicts a girl walking on the beach with vibrant colors,https://en.wikipedia.org/wiki/The_Girl_from_Ipanema_(painting)
Gleaners,Jean-Francois Millet,Realism,19,Farm workers,Oil,Depicts three women gleaning wheat in a field,https://en.wikipedia.org/wiki/The_Gleaners
Great Red Dragon and the Woman Clothed with the Sun,William Blake,Romanticism,19,Mythology,Watercolor,Depicts the biblical scene from the Book of Revelation,https://en.wikipedia.org/wiki/The_Great_Red_Dragon_Paintings
Great Wave off Kanagawa,Katsushika Hokusai,Ukiyo-e,19,Wave and boats,Woodblock print,Depicts a giant wave about to engulf boats near Mount Fuji,https://en.wikipedia.org/wiki/The_Great_Wave_off_Kanagawa
Hay Wagon,Jean-Francois Millet,Realism,19,Farm workers and wagon,Oil,Depicts a wagon loaded with hay surrounded by farm workers,https://en.wikipedia.org/wiki/The_Hay_Wagon
Kiss,Gustav Klimt,Symbolism,19,Couple embracing,Oil,Depicts a couple embracing in a field of flowers,https://en.wikipedia.org/wiki/The_Kiss_(Klimt)
Lady of Shalott,John William Waterhouse,Romanticism,19,Literary scene,Oil,Depicts the Lady of Shalott from the poem by Tennyson,https://en.wikipedia.org/wiki/The_Lady_of_Shalott_(painting)
Lady with the Ermine,Leonardo da Vinci,Renaissance,15,Portrait,Oil,Depicts Cecilia Gallerani holding an ermine,https://en.wikipedia.org/wiki/Lady_with_an_Ermine
Lamentation of Christ,Andrea Mantegna,Renaissance,15,Religious scene,Tempera,Depicts the lamentation over the body of Jesus after the Crucifixion,https://en.wikipedia.org/wiki/The_Lamentation_of_Christ_(Mantegna)
Last Supper,Leonardo da Vinci,Religious painting,15,Religious scene,Tempera,Depicts the last supper of Jesus and his disciples,https://en.wikipedia.org/wiki/The_Last_Supper_(Leonardo_da_Vinci)
Luncheon on the Grass,Edouard Manet,Realism,19,Figure in a park,Oil,Depicts a woman sitting in a park with two men,https://en.wikipedia.org/wiki/Le_D%C3%A9jeuner_sur_l%27herbe
Mona Lisa of the North,Johannes Vermeer,Portrait,17,Young woman,Oil,Portrait of a young woman with a fur hat and a pearl earring,https://en.wikipedia.org/wiki/The_Mona_Lisa_of_the_North
Naked Maja,Francisco Goya,Neoclassicism,18,Nude woman,Oil,Depicts a reclining nude woman,https://en.wikipedia.org/wiki/La_maja_vestida
Night Cafe,Vincent van Gogh,Post-Impressionism,19,Interior scene,Oil,Depicts the interior of a cafe at night with bright colors,https://en.wikipedia.org/wiki/The_Night_Caf%C3%A9
Night Watch,Rembrandt van Rijn,Baroque,17,Group portrait,Oil,Depicts a group of militiamen and other civilians,https://en.wikipedia.org/wiki/The_Night_Watch
Nude Maja,Francisco Goya,Neoclassicism,18,Nude woman,Oil,Depicts a reclining nude woman,https://en.wikipedia.org/wiki/La_maja_desnuda
Old Guitarist,Pablo Picasso,Blue Period,19,Old man with a guitar,Oil,Depicts an old man with a guitar and a solemn expression,https://en.wikipedia.org/wiki/The_Old_Guitarist
Persistence of Memory,Salvador Dali,Surrealism,20,Melting clocks,Oil,Depicts a landscape with melting clocks,https://en.wikipedia.org/wiki/The_Persistence_of_Memory
Potato Eaters,Vincent van Gogh,Realism,19,Peasant life,Oil,Depicts a group of poor peasants eating potatoes,https://en.wikipedia.org/wiki/The_Potato_Eaters
Raft of the Medusa,Theodore Gericault,Romanticism,19,Shipwreck,Oil,Depicts the aftermath of the shipwreck of the frigate Meduse,https://en.wikipedia.org/wiki/The_Raft_of_the_Medusa
Red Vineyard,Vincent van Gogh,Post-Impressionism,18,Vineyard,Oil,Depicts a vineyard in autumn with workers harvesting grapes,https://en.wikipedia.org/wiki/The_Red_Vineyard
School of Athens,Raphael,High Renaissance,16,Group of philosophers,Fresco,Depicts philosophers and scientists from ancient Greece,https://en.wikipedia.org/wiki/The_School_of_Athens
Scream,Edvard Munch,Symbolism,19,Figure screaming,Pastel,Depicts a figure screaming against a blood-red sky,https://en.wikipedia.org/wiki/The_Scream
Sleeping Gypsy,Henri Rousseau,Naive art,19,Figure and animals,Oil,Depicts a sleeping woman in the desert with a lion beside her,https://en.wikipedia.org/wiki/The_Sleeping_Gypsy
Sleeping Venus,Giorgione,Renaissance,15,Nude woman,Oil,Depicts a nude woman sleeping in a landscape,https://en.wikipedia.org/wiki/The_Sleeping_Venus_(Giorgione)
Son of Man,Rene Magritte,Surrealism,20,Man with apple,Oil,Depicts a man with a green apple covering his face,https://en.wikipedia.org/wiki/The_Son_of_Man
Starry Night Over the Rhone,Vincent van Gogh,Post-Impressionism,19,Night sky and river,Oil,Depicts the Rhone river in Arles at night,https://en.wikipedia.org/wiki/The_Starry_Night_Over_the_Rh%C3%B4ne
Storm,Johan Christian Dahl,Romanticism,19,Stormy seas,Oil,Depicts a ship in a stormy sea,https://en.wikipedia.org/wiki/The_Storm_(Dahl)
Storm on the Sea of Galilee,Rembrandt van Rijn,Baroque,17,Sea storm,Oil,Depicts a violent storm on the Sea of Galilee with Jesus calming the storm,https://en.wikipedia.org/wiki/The_Storm_on_the_Sea_of_Galilee
Swing,Jean-Honore Fragonard,Rococo,18,Young woman on a swing,Oil,Depicts a young woman on a swing being pushed by a man,https://en.wikipedia.org/wiki/The_Swing_(painting)
Tempest,Giorgione,Renaissance,15,Landscape,Oil,Depicts a woman nursing a baby in a stormy landscape,https://en.wikipedia.org/wiki/The_Tempest_(Giorgione)
Thinker,Auguste Rodin,Modern sculpture,19,Figure of a man,Bronze,Depicts a man sitting and thinking,https://en.wikipedia.org/wiki/The_Thinker
Third Day of May 1808,Franklin Tavora,Romanticism,19,Execution,Oil,Depicts the execution of Brazilian soldiers by Portuguese forces,https://en.wikipedia.org/wiki/Franklin_T%C3%A1vora
Third of May 1808,Francisco Goya,Romanticism,19,Execution,Oil,Depicts the execution of Spanish citizens by French soldiers,https://en.wikipedia.org/wiki/The_Third_of_May_1808
Three Ages of Woman,Gustav Klimt,Symbolism,20,Group of women,Oil,Depicts a group of women at different ages,https://en.wikipedia.org/wiki/The_Three_Ages_of_Woman
Tower of Babel,Pieter Bruegel the Elder,Renaissance,16,Biblical scene,Oil,Depicts the construction of the Tower of Babel,https://en.wikipedia.org/wiki/The_Tower_of_Babel_(Bruegel)
Treachery of Images,Rene Magritte,Surrealism,20,Pipe and text,Oil,"Depicts a painting of a pipe with the text ""Ceci n'est pas une pipe"" (This is not a pipe)",https://en.wikipedia.org/wiki/The_Treachery_of_Images
Two Fridas,Frida Kahlo,Surrealism,20,Self-portrait,Oil,Depicts two versions of the artist holding hands,https://en.wikipedia.org/wiki/The_Two_Fridas
Water Lilies,Claude Monet,Impressionism,20,Water lilies,Oil,Depicts a series of paintings of water lilies in a pond,https://en.wikipedia.org/wiki/Water_Lilies_(Monet_series)
Whistler's Mother,James McNeill Whistler,Portrait,19,Old woman,Oil,Portrait of the artist's mother,https://en.wikipedia.org/wiki/Whistler%27s_Mother